#Example		Q01	Q02	Q03	Q04	Q05	Q06	Q07	Q08	Q09	Q10	Q11	Q12
STR	TGH	SPE	INT	SPI	CHA	LST	CRP
#Dyrndel			AE	EA	B	D	BF	AFD	FA	CD	FE	AC	DE	DA
AA	AA	L	A	H	L	BA	AA

#Eiliennil		D	C	A	ABF	CF	A	AB	FB	BA	E	AF	ABD
BA	BA	AA	BA	L	H	H	AA

#NickAndNack		DF	CF	EF	CEF	CDE	F	ACD	DE	ABE	F	ABF	BC
BA	L	AA	A	L	H	AA	H

#AhthariIshtar	AB	CD	CD	BC	AB	EF	AF	BC	BE	AB	CF	DE
A	AA	A	H	H	L	A	BA

#Ann			CE	DE	BE	AC	AB	DE	AF	CF	CE	F	EF	DE
BA	AA	A	AA	A	AA	BA	BA

#ArianaSummers	ABD	AE	BF	BDF	CEF	CF	AF	BDE	ABD	ADE	ABF	EAF
BA	AA	AA	A	A	L	AA	BA

#Simon			AB	DF	E	ADE	AB	B	C	BCD	C	DF	E	DE
A	AA	AA	AA	H	AA	L	L

#IsaacWoods		AF	AD	B	BF	AB	CF	AF	CE	AB	AD	CD	AD
BA	A	AA	AA	BA	AA	L	H

#Adam			ACF	ADF	C	CDE	DEF	BCE	CDF	CDE	DEF	F	E	CEF
BA	L	BA	VH	AA	AA	BA	A

#Meg			CE	BDE	C	AE	ABCDEF	CE	BCE	BCF	DF	F	EF	BE
L	AA	L	H	A	A	AA	AA

#Vasaria		C	D	E	A	B	C	D	D	F	A	C	C
L	A	A	H	A	AA	BA	A

#LincolnHale	AB	AE	B	CD	AE	B	AF	A	D	AD	BD	BA
H	H	BA	BA	AA	BA	A	L

#Kaidan			CE	DF	CE	CE	AB	AB	DE	CD	C	CF	CE	EF
BA	L	A	AA	H	H	A	L	

#Maia			AF	AE	BF	BCD	ABF	AF	CF	ABF	CE	ADE	ABF	CB
AA	A	H	BA	AA	BA	A	BA

#Remas		AB	AE	AB	D	ABD	CF	A	AC	CE	A	D	AB	
VH	VH	L	BA	AA	L	L	AA

#Bridget	BCE	BDE	CDE	ACE	A	BE	DE	CF	CF	F	E	EF	
L	BA	A	VH	AA	A	BA	A

#Lisbeth		AF	AB	F	CD	AF	EF	AD	AB	DE	DE	AF	CF
BA	AA	H	A	A	L	H	L

#Zephyr		CE	AD	C	AB	CE	C	AF	DE	BA	AEF	ACF BDF 
L	L	BA	H	A	AA	H	AA

#Tobias		AC	DE	CF	A	BD	EF	AF	CD	CD	CF	CE	DE	
BA	A	AA	AA	H	AA	VL	BA

#KittyRose		AD	AB	CE	BE	AB	AD	CF	AB	C	EF	AF	F
A	A	AA	AA	A	A	A	L

#Surreal		AB	AC	BE	CD	DF	EF	A	E	AB	AB	AD	DE
AA	A	A	BA	L	A	A	AA	

#AristaMurphy	A	B	EF	C	EF	B	C	A	D	D	C	D
A	A	A	A	AA	A	A	BA

#Ciara		CE	BF	AE	CF	AB	DE	DE	DF	CF	CF	DF	AF
AA	AA	A	H	BA	L	BA	L

#Azael		DF	AE	BC	BD	DE	BF	AF	AC	AB	AB	CF	BD
H	A	VL	L	L	AA	H	AA

#Vidarlas	A	AB	BC	DC	DF	FE	FA	AB	FB	AB	DF	AD
E	BA	AA	A	A	VL	L	H

#Kat			CE	EF	AC	AB	AF	AF	BD	BD	EF	CF	EF	CF
AA	A	BA	AA	BA	BA	A	A

#Basilisk		AC	AE	BD	D	BD	F	CF	AC	CF	AB	DE	AE
AA	H	BA	AA	A	L	A	AA

#Bear			AB	AB	E	CD	BF	EF	F	A	CD	AD	DF	AF
H	H	L	A	AA	L	BA	AA

#Bee			DE	CEF	D	BC	ABC	DE	DE	CD	EF	E	C	BF
AA	L	A	BA	AA	AA	A	AA

#Cat			CD	CD	CD	AE	AE	DE	CD	CF	CD	CF	CE	DE
L	L	AA	AA	A	AA	AA	AA

#Chameleon		CE	DF	F	AE	BE	BE	BD	CD	E	DF	BE	C
A	A	H	AA	BA	L	A	AA

#Cow			AB	AE	BD	CD	AB	DF	AF	AE	BD	AE	AD	AB
H	H	BA	L	AA	BA	A	AA

#PhysicalDemon	DF	CD	BC	AB	BD	CF	CF	CE	AB	BE	CD	DE
AA	AA	A	AA	L	AA	BA	AA

#Dragonborn		BC	AD	BF	CD	AB	AF	AF	AC	CE	AD	DE	AE
AA	AA	AA	AA	BA	BA	BA	AA

#Fox			EF	DF	CE	AF	AC	BC	CD	CE	AD	DE	BF	CD
L	L	AA	AA	AA	AA	BA	AA

#Harpy			AF	CF	A	BC	BD	EF	DF	EF	AB	E	ACD	BD
L	L	H	AA	L	AA	H	AA

#Horse			AB	AE	D	DE	AC	AEF	AD	BF	C	BD	BE	CD
VH	H	H	L	AA	L	L	A

#Imp				F	C	CE	BE	D	EF	C	DE	AB	E	ABC	BD
A	L	AA	L	H	H	L	A

#Kangaroo		A	AB	DE	D	BE	DF	AF	A	D	BD	F	AE
H	H	H	L	L	L	A	A

#Kitsune			CD	CF	AD	A	D	F	CD	D	AB	EF	CF	BDE
L	BA	AA	AA	H	H	L	BA

#Minotaur		A	AE	B	BCD	BDF	CF	AF	A	B	A	ADF	AB
VH	H	BA	L	AA	BA	A	A

#Mouse			CE	DF	F	AE	A	ABD	BDE	CF	A	CF	E	CF
L	L	AA	AA	A	AA	H	BA

#Rabbit			BD	DF	DEF	DEF	CD	AF	DE	BD	AB	DE	EB	CF
BA	BA	H	H	L	A	A	A

#Raccoon		BF	BE	AC	BF	BF	BF	ACD	BC	EF	CA	BD	AC
L	A	A	AA	BA	AA	BA	A

#Goblin			F	C	ABF	BD	BDE	CE	ACD	E	BE	F	CD	CD
L	L	H	AA	BA	H	AA	A

#Salamander		AB	AF	AE	DF	D	BDF	AD	ABE	CE	AB	AD	DA
H	H	AA	A	BA	L	BA	BA

#Snake			EF	DF	AF	AC	BE	AE	AD	DF	BD	CF	CDE	CD
A	BA	AA	AA	L	AA	A	A

#Spider			AB	AD	DEF	CD	AB	AD	AF	AB	CD	C	DEF	AE
BA	AA	BA	A	AA	BA	A	A

#Wolf			A	BE	EF	BC	ABC	BD	AD	A	CE	AB	DEF	AB
AA	BA	AA	A	BA	AA	A	BA

#Phoenix			CE	D	AC	F	DE	E	AD	C	F	CF	E	E
AA	L	A	VH	AA	L	BA	A

#MentalDemon		DF	C	F	BCF	CEF	C	A	CDE	ABD	EF	ACF	DEF
A	L	A	AA	BA	AA	A	AA

#DamonDarklore	CE	DE	CD	AC	AF	BD	DF	CD	CF	CF	DF	EF
L	A	AA	H	AA	BA	BA	A

#Athene			AB	AD	BE	DE	AE	AF	AF	AF	BF	AB	EF	AC
AA	AA	A	AA	A	L	BA	AA

#Zhia			CE	AD	CF	AD	AE	EF	EF	CD	CD	DF	EF	EF
A	AA	AA	AA	A	L	L	A

#Ozlen			C	DF	F	EF	C	AD	ADE	C	C	F	AC	F
A	BA	AA	H	AA	AA	L	L

#Ryina			BD	BC	F	C	BD	C	A	EF	BD	BE	BF	DE
BA	AA	AA	A	AA	A	A	BA

#Elizavetta		C	CF	AD	BC	A	E	DB	BF	B	E	AC	D
BA	BA	A	AA	A	AA	H	A

Artimis			AC	AF	F	CDF	ABE	DAB	AF	AC	CF	AE	CEF	ABF
A	AA	AA	A	A	A	A	L
